track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_indie_proba,genre_pop_proba,genre_rock_proba,genre_soul_proba
2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,364,0jKQrxK2zHqxyOAyIMrUQt,326000,0.635,0.376,9.0,-6.1,1.0,0.0457,0.0104,0.0,0.109,0.28,124.57,"['opm', 'pinoy rock']",2,rock,0.35661178257649945,0.17490617461786193,0.29916559225870537,0.35661178257649945,0.1693164505469335
0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,365,4nGp682WMiKS4X217kPw8C,241029,0.696,0.262,11.0,-15.073,1.0,0.031,0.519,0.0,0.0669,0.265,84.007,"['opm', 'pinoy rock']",3,soul,0.5332541502863819,0.15478940499103272,0.05993429128540918,0.2520221534371762,0.5332541502863819
6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,365,3wbCeEPAW6po7J46netxMT,222446,0.686,0.322,6.0,-13.2,1.0,0.0369,0.165,0.0296,0.0809,0.511,155.982,"['opm', 'pinoy indie', 'pinoy rock', 'pop rock']",3,soul,0.37406049758519555,0.30767771996941123,0.029232702890557384,0.2890290795548359,0.37406049758519555
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,365,0rZRTXEmmPmx6gt92tBqIc,254249,0.374,0.125,7.0,-14.847,1.0,0.0383,0.852,4.66e-06,0.321,0.108,114.694,['opm'],0,indie,0.7185023398470461,0.7185023398470461,0.061827668180895856,0.04301955728379502,0.17665043468826302
5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,359,1vg8YXdgvLLPPeXZkM7g5W,262086,0.562,0.281,7.0,-8.813,1.0,0.0296,0.841,0.0,0.112,0.306,91.961,"['opm', 'vispop']",3,soul,0.5134639017464979,0.12761131560388927,0.23024540088043438,0.1286793817691786,0.5134639017464979
01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,363,1t2caVgyabZrVDAlmMGraV,230453,0.404,0.174,9.0,-10.192,1.0,0.0312,0.893,0.0,0.0977,0.324,87.636,['opm'],3,soul,0.5560010689393761,0.23483470789368785,0.10217592162156419,0.10698830154537188,0.5560010689393761
2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,362,4BNWanhw4AjSXjBm9L1Jzy,250803,0.52,0.309,2.0,-12.039,1.0,0.0534,0.597,0.0,0.102,0.177,150.098,['opm'],3,soul,0.4051199193953299,0.1761998820031222,0.17690710301221604,0.241773095589332,0.4051199193953299
29xs643Q96uQLD8f7SxYYw,Sa'yo,Silent Sanctuary,362,4nGp682WMiKS4X217kPw8C,253360,0.567,0.0896,5.0,-12.944,1.0,0.0343,0.796,0.0,0.218,0.367,79.002,"['opm', 'pinoy rock']",3,soul,0.6730958414712421,0.15592665378310022,0.04658123091566921,0.12439627382998845,0.6730958414712421
7sW3f7PqDV7BQ7qqeVBJIA,Migraine,Moonstar88,363,2kZThDGZcHl4klYYFk0v8n,267560,0.662,0.546,2.0,-5.868,1.0,0.0288,0.204,2.82e-06,0.12,0.196,115.053,"['opm', 'pinoy rock', 'pop rock']",1,pop,0.4086621319947227,0.15845928798747572,0.4086621319947227,0.3440795660554921,0.08879901396230963
0Dljpp52vCmtXi0E94qjfo,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,332,6aiCKnIN68hohzU3ZzNq48,255608,0.389,0.273,6.0,-7.697,1.0,0.0362,0.705,0.0,0.117,0.176,134.124,['opm'],3,soul,0.3457316827125955,0.2009295827409986,0.2746348353830748,0.17870389916333118,0.3457316827125955
6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,365,2JEIN1g27pZdm3hKB9EwE5,235009,0.58,0.244,4.0,-9.917,1.0,0.0361,0.808,0.0,0.092,0.385,82.121,['opm'],3,soul,0.7270142089724952,0.09574359681371306,0.10091442764492724,0.07632776656886428,0.7270142089724952
4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,344,0XOSmu9Qn1agQULUVe0dAK,211200,0.764,0.894,0.0,-2.892,1.0,0.0327,0.227,0.0,0.0906,0.963,99.986,['opm'],1,pop,0.5212332181216284,0.08344721388266078,0.5212332181216284,0.3423599141766791,0.05295965381903173
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,334,4DAcJXcjX0zlQAZAPAx4Zb,318814,0.491,0.314,10.0,-8.58,1.0,0.0301,0.776,4.76e-06,0.152,0.295,126.921,['opm'],3,soul,0.4578379465277361,0.15181332082138912,0.1896904525246132,0.2006582801262618,0.4578379465277361
1yDiru08Q6omDOGkZMPnei,Maybe The Night,Ben&Ben,365,4DAcJXcjX0zlQAZAPAx4Zb,217197,0.572,0.522,2.0,-9.095,1.0,0.0367,0.113,4.91e-05,0.114,0.498,74.05,['opm'],2,rock,0.4953623577155485,0.15625654302138417,0.048249406995962,0.4953623577155485,0.3001316922671057
4u8RkgV6P4TLi89SmlUtv8,Mundo,IV Of Spades,365,4k9wp4ipHdA1bu1T4x1ZTG,349713,0.705,0.401,6.0,-8.9,1.0,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,"['opm', 'p-pop', 'pinoy trap', 'pop']",3,soul,0.4620199304463577,0.157246041657194,0.08737581332945728,0.29335821456699124,0.4620199304463577
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,365,4qFxP3qN9GsnZDOkAE6x2m,285138,0.518,0.762,7.0,-3.907,1.0,0.0305,0.0851,0.0,0.148,0.271,155.985,"['opm', 'pinoy pop punk']",2,rock,0.4571545149887777,0.2662430746335058,0.23080825931312593,0.4571545149887777,0.045794151064590734
