track_id,track_name,artist_name,streams
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,365
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,365
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,365
4nMlau89VAjmV7agkl7OY3,Fresh Eyes,Andy Grammer,334
2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,364
0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,365
6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,365
6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,363
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,365
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,363
5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,359
01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,363
2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,362
29xs643Q96uQLD8f7SxYYw,Sa'yo,Silent Sanctuary,362
7sW3f7PqDV7BQ7qqeVBJIA,Migraine,Moonstar88,363
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,363
0Dljpp52vCmtXi0E94qjfo,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,332
6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,365
6cAKeFFYW2aClZSUyvqAEW,It's Gotta Be You,Isaiah Firebrace,349
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,360
4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,344
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,354
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,334
76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,358
4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. Daniel Caesar),H.E.R.,363
1yDiru08Q6omDOGkZMPnei,Maybe The Night,Ben&Ben,365
4u8RkgV6P4TLi89SmlUtv8,Mundo,IV Of Spades,365
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,365
2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,Lauv,365
5nMKJJ5Rl6X1yn58aVeICO,Bulong,December Avenue,363
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,365
1X4l4i472kW5ofFP8Xo0x0,Sana - Single Version,I Belong to the Zoo,365
6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,December Avenue,348
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,363
5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,365
0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,LANY,364
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw - Single Version,I Belong to the Zoo,363
2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,PDL,356
3OpGUlDmRUXh0NkIYWoIlD,Your Song,Parokya Ni Edgar,341
6wdCelHrPh7UfliNjwRTUv,Leaves,Ben&Ben,365
5l9g7py8RCblcvbZgGQgSd,Pagtingin,Ben&Ben,366
4rG3h1QwgjSSWz8EIjCFrm,Araw-Araw,Ben&Ben,356
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,366
6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,The Juans,366
65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,366
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,340
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,366
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,366
2Mo4pOpCYXOu33856sMQLh,Make It With You,Ben&Ben,366
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande,350
63qA4ydokzNOFpsaNlsYsC,Higa,Arthur Nery,355
