track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,365,0du5cEVh5yTK9QJze8zA0C,261240,0.578,0.574,2.0,-6.209,1.0,0.0454,0.196,0.0,0.083,0.301,174.152,"['dance pop', 'pop']"
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,365,4IWBUUAFIplrNtaOHcJPRM,211466,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,"['pop', 'talent show', 'uk pop']"
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,365,69GGBxA162lTqCwzJG5jLp,244960,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
4nMlau89VAjmV7agkl7OY3,Fresh Eyes,Andy Grammer,334,2oX42qP5ineK3hrhBECLmj,198001,0.822,0.544,0.0,-6.797,1.0,0.0332,0.562,2.4e-05,0.144,0.861,122.047,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']"
2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,364,0jKQrxK2zHqxyOAyIMrUQt,326000,0.635,0.376,9.0,-6.1,1.0,0.0457,0.0104,0.0,0.109,0.28,124.57,"['opm', 'pinoy rock']"
0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,365,4nGp682WMiKS4X217kPw8C,241029,0.696,0.262,11.0,-15.073,1.0,0.031,0.519,0.0,0.0669,0.265,84.007,"['opm', 'pinoy rock']"
6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,365,3wbCeEPAW6po7J46netxMT,222446,0.686,0.322,6.0,-13.2,1.0,0.0369,0.165,0.0296,0.0809,0.511,155.982,"['opm', 'pinoy indie', 'pinoy rock', 'pop rock']"
6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran,363,6eUKZXaKkcviH0Ku9w2n3V,258986,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,"['pop', 'uk pop']"
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,365,0rZRTXEmmPmx6gt92tBqIc,254249,0.374,0.125,7.0,-14.847,1.0,0.0383,0.852,4.66e-06,0.321,0.108,114.694,['opm']
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,363,0du5cEVh5yTK9QJze8zA0C,206693,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,"['dance pop', 'pop']"
5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,359,1vg8YXdgvLLPPeXZkM7g5W,262086,0.562,0.281,7.0,-8.813,1.0,0.0296,0.841,0.0,0.112,0.306,91.961,"['opm', 'vispop']"
01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,Michael Pangilinan,363,1t2caVgyabZrVDAlmMGraV,230453,0.404,0.174,9.0,-10.192,1.0,0.0312,0.893,0.0,0.0977,0.324,87.636,['opm']
2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,362,4BNWanhw4AjSXjBm9L1Jzy,250803,0.52,0.309,2.0,-12.039,1.0,0.0534,0.597,0.0,0.102,0.177,150.098,['opm']
29xs643Q96uQLD8f7SxYYw,Sa'yo,Silent Sanctuary,362,4nGp682WMiKS4X217kPw8C,253360,0.567,0.0896,5.0,-12.944,1.0,0.0343,0.796,0.0,0.218,0.367,79.002,"['opm', 'pinoy rock']"
7sW3f7PqDV7BQ7qqeVBJIA,Migraine,Moonstar88,363,2kZThDGZcHl4klYYFk0v8n,267560,0.662,0.546,2.0,-5.868,1.0,0.0288,0.204,2.82e-06,0.12,0.196,115.053,"['opm', 'pinoy rock', 'pop rock']"
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,363,4gzpq5DPGxSnKTe4SA8HAU,309600,0.557,0.442,5.0,-7.224,1.0,0.0243,0.731,1.46e-05,0.11,0.213,146.277,"['permanent wave', 'pop']"
0Dljpp52vCmtXi0E94qjfo,"Maybe This Time - From ""Maybe This Time""",Sarah Geronimo,332,6aiCKnIN68hohzU3ZzNq48,255608,0.389,0.273,6.0,-7.697,1.0,0.0362,0.705,0.0,0.117,0.176,134.124,['opm']
6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,365,2JEIN1g27pZdm3hKB9EwE5,235009,0.58,0.244,4.0,-9.917,1.0,0.0361,0.808,0.0,0.092,0.385,82.121,['opm']
6cAKeFFYW2aClZSUyvqAEW,It's Gotta Be You,Isaiah Firebrace,349,5lXfVoQxVgC5fpjkVqvNYn,193446,0.422,0.745,8.0,-4.632,1.0,0.0378,0.221,0.0,0.0981,0.588,95.487,"['australian pop', 'australian talent show']"
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,360,6eUKZXaKkcviH0Ku9w2n3V,233712,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,"['pop', 'uk pop']"
4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,344,0XOSmu9Qn1agQULUVe0dAK,211200,0.764,0.894,0.0,-2.892,1.0,0.0327,0.227,0.0,0.0906,0.963,99.986,['opm']
