playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXaLI8a395lse,Alternative 90s,80,spotify,Spotify,1191016
37i9dQZF1DXdTCdwCKzXwo,Early Alternative,75,spotify,Spotify,1133099
37i9dQZF1DWTggY0yqBxES,Alternative Hip-Hop,105,spotify,Spotify,929119
37i9dQZF1DX873GaRGUmPl,Alternative 10s,80,spotify,Spotify,903734
37i9dQZF1DWTSKFpOdYF1r,Alternative 80s,80,spotify,Spotify,880809
20LKsiDZd4ALrlihncFcFa,90s Alternative Rock,100,myplay.com,Filtr US,762996
37i9dQZF1DX0YKekzl0blG,Alternative 00s,80,spotify,Spotify,689571
37i9dQZF1DX9GRpeH4CL0S,Essential Alternative,225,spotify,Spotify,660235
37i9dQZF1DWXMg4uP5o3dm,Alternative Beats,100,spotify,Spotify,447209
37i9dQZF1DXb3ZjVksUlfu,Alternative 70s,85,spotify,Spotify,351004
37i9dQZF1DX5qNE4zrflL7,Alternative 60s,80,spotify,Spotify,308030
37i9dQZF1DWY5ai7gxfuaS,Alternative Metal,80,spotify,Spotify,235970
5jKkHPUXGZHitWujNXQREE,Best '90s Alternative Playlist Ever,167,jasonrberwick,jasonrberwick,228469
37i9dQZF1DX3XfcfEnrDRE,Ultimate Christian Alternative,100,spotify,Spotify,227536
1uBI8icgYcUED3T1W1X6dB,Alternative Nation,75,topsify,Topsify,220958
37i9dQZF1DWTMR78LDoAZC,Alternative Pride,75,spotify,Spotify,115734
37i9dQZF1DXcKHVXMYcCuJ,Alternative Rock's Most Precious Gems,150,spotify,Spotify,107214
1Bd0IfvDgnbAyY44cUEOhz,New Wave 80s vs Alternative 90s,287,cocoy.claravall,Cocoy Claravall,69808
37i9dQZF1DX6MUrG3NBYtM,Alternative All Lined Up,99,spotify,Spotify,69391
37i9dQZF1DWTBN71pVn2Ej,Alternative Noise,60,spotify,Spotify,69276
37i9dQZF1DX2G2VrXHSPQG,Your Alternative,75,spotify,Spotify,64150
1CLtZgIOMHYBSfndPzyBOS,Alternative 2000s,317,shannonjreaves,Shannon Reaves,52839
37i9dQZF1DX39Q9ceUSQK1,New Alternative,100,spotify,Spotify,47318
7xY8wHHjF0wxke2dkK3sRc,90's Alternative Rock (Top 100),128,tdkqms1h1k98zcv23ug77vcb1,a.j.matthews16,47112
3ZwGNZnttkwMhddDn3YzMF,BEST OF ALTERNATIVE ROCKS,183,12132181803,Maria Rezende Beirao,39796
5QMoCsL2vkCDJ1qx0BW466,Alternative/ Indie,74,9equqyo54jsq5mdr13ryhjv2i,Kill.your.darlin,25212
37i9dQZF1DWW4HjhBfHmYg,Alternative Austria,50,spotify,Spotify,20982
5G54gG9eqXXGQAHVHGzloP,The Best Alternative,134,piaarivera,Paula Andrea,16801
6zSpW1JO6hStNiguLjkNP8,Chai's Best Alternative Rock,108,12139121519,Chai Razon Saturnino,16065
5RWA2T7xifMwjXFqiOqvp6,Alternative Rock,86,22i6dyqheja23l5tx3hyknt7q,Isiah Villanueva,13424
13mGI5i9FGBjXH7YSv2PBY,Alternative 90's,122,efstopp20,efstopp20,12966
1QlwZS4gfx0XepdxpBG1UH,Alternative Rock 2000s Music,69,klbhj1gdhd32ie7wcah3sw85r,Redlist - Power Songs,11547
5AQB9NV6TdAcW8hrtcIlna,"Alternative Rock 80's, 90's and 20's",149,12139462580,Cherry Claire,11245
4sMl0IIC6xMPzAbW060fPS,2000 TO 2010 ACOUSTIC/ALTERNATIVE ROCK MIX,79,28uvgt56g4ojegjrik735xa2w,@thobi,8890
54AnWifFJbMOeFhqUdm9Xw,Pinoy alternative/rock /90's/2000s,78,12167396932,MaryZxshel Lector,7992
37i9dQZF1DX7vdU2zXoyXA,an alternative future,80,spotify,Spotify,6253
4weSyx5cRzUgEetlUUNICa,Alternative Love Song,261,22xysn2icf4zq2kstn35njqpi,Rene Tacuban,5556
2WqMwDyDT4g7NPzDCiZpCo,Alternative Songs,280,seiraagaznog-ph,Mi Go,4534
4nkVEXDskCXXRyDz8fldXi,Accoustic Alternative Rock,44,uqqwl9idjh9uygnnwaen67i66,Regorlairepmi,4168
4BpuxR8D4gQU5YgLYaFvVo,90s Acoustic Alternative,209,225xnkqk5jcgnyhyp7zoeuudq,Retamar Pascual Glen,3975
45GZ6Y5mEivwb9NsgIS1Bn,90s Best OPM Alternative Rock,187,mikkobernardo,mikkobernardo,3975
6ZjGab8Y83ZmJUlVHI0c40,ALTERNATIVE ROCK LOVE SONGS,87,224a4xec4qqkwgtz4xhmhvhny,Javiery,3651
78Su0yx3oFcfaNnskByOyv,90s Alternative (Acoustic) - Foreign,152,eov8cmbk2ohevwwp36qs741m0,Luigi Manianglung,3520
7CL05ZSVVzsvf8YdD8x38f,Alternative Therapy,229,31mio7ryr2yqhwzjl3uuptfmizcq,Zee,2987
0pAiel8jHSQTKslgrrId6P,❤️ 90s 2000s Alternative Popular Pop Love Songs Rock Favorites sing-along Karaoke hits,517,22qufpg3ei5k5fdnih35vxuni,JEAN GONZALES,2885
