track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7yrZCBUokAMTJtOzXSHKYu,Cut (1990 Demo) - 2022 Remaster,7bu3H8JO7d0UbMoVzbo70s,The Cure,3oieEL76lQ4dPAiGaAh7jw,213293,2022-11-25,44,0.686,0.73,4,-7.954,0,0.0269,0.00288,0.478,0.0641,0.507,112.245,37i9dQZF1DXaLI8a395lse,Alternative 90s
70LcF31zb1H0PyJoS1Sx1r,Creep,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,3gBVdu4a1MMJVMy6vwPEb8,238640,1993-02-22,86,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,37i9dQZF1DXaLI8a395lse,Alternative 90s
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,4KWTAlx2RvbpseOGMEmROg,R.E.M.,6yEuIwTQpciH1qtj7mP5GK,268426,1991-03-12,85,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,37i9dQZF1DXaLI8a395lse,Alternative 90s
7EZC6E7UjZe63f1jRmkWxt,Zombie,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,1Bwo9JkbVwxGyvtQNMRK21,306440,1994-10-03,83,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,37i9dQZF1DXaLI8a395lse,Alternative 90s
6L89mwZXSOwYl76YXfX13s,Basket Case,7oPftvlwr6VrsViSDV7fJY,Green Day,4uG8q3GPuWHQlRbswMIRS6,181533,1994-02-01,82,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,37i9dQZF1DXaLI8a395lse,Alternative 90s
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,2cGwlqi3k18jFpUyTrsR84,The Verve,52AeC4gwbxDfFlLHgK1ByD,357266,1997-09-29,81,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,37i9dQZF1DXaLI8a395lse,Alternative 90s
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,7MhMgCo0Bl0Kukl93PZbYS,Blur,7HvIrSkKGJCzd8AKyjTJ6Q,121160,1997-02-10,80,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,37i9dQZF1DXaLI8a395lse,Alternative 90s
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,6olE6TJLqED3rqDCT0FyPh,Nirvana,6ohX7moZZnF1FwYrli1OJ6,281160,1993-09-21,80,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,37i9dQZF1DXaLI8a395lse,Alternative 90s
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,6zvul52xwTWzilBZl6BUbT,Pixies,50j4Wm1b9hLpSpPIA39Vp9,234973,1988-03-21,79,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,37i9dQZF1DXaLI8a395lse,Alternative 90s
10nyNJ6zNy2YVYLrcwLccB,No Surprises,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,6dVIqQ8qmQ5GBnJ9shOYGE,229120,1997-05-28,82,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,37i9dQZF1DXaLI8a395lse,Alternative 90s
0gEyKnHvgkrkBM6fbeHdwK,Linger,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,0AP5O47kJWlaKVnnybKvQI,274706,1993-03-01,79,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,37i9dQZF1DXaLI8a395lse,Alternative 90s
2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,5xUf6j4upBrXZPg6AI4MRK,Soundgarden,29sTacnS0qA9xri6YS8xLA,318586,1994-03-09,78,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,37i9dQZF1DXaLI8a395lse,Alternative 90s
5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,55RhFRyQFihIyGf61MgcfV,266200,1995,78,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,37i9dQZF1DXaLI8a395lse,Alternative 90s
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,3jOstUTkEu2JkjvRdBA5Gu,Weezer,1xpGyKyV26uPstk1Elgp9Q,258826,1994-05-10,77,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,37i9dQZF1DXaLI8a395lse,Alternative 90s
4P5KoWXOxwuobLmHXLMobV,Come As You Are,6olE6TJLqED3rqDCT0FyPh,Nirvana,2guirTSEqLizK7j9i1MTTZ,218920,1991-09-26,78,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,37i9dQZF1DXaLI8a395lse,Alternative 90s
1L94M3KIu7QluZe63g64rv,Alive,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,5B4PYA7wNN4WdEXdIJu58a,340907,1991-08-27,76,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,37i9dQZF1DXaLI8a395lse,Alternative 90s
6txWz9UapYHVxEd7dDIHXT,No Rain,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,55jET4vDioHHd7ztX7OX3h,217106,1992-01-01,76,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,37i9dQZF1DXaLI8a395lse,Alternative 90s
1Cwsd5xI8CajJz795oy4XF,You Get What You Give,0Grjlu7ncIuCaSYvCs9fcd,New Radicals,13btXEnBerpA1UjIVtsMAR,300773,1998-01-01,76,0.621,0.901,2,-5.396,1,0.0302,0.17,0.0,0.0875,0.744,113.967,37i9dQZF1DXaLI8a395lse,Alternative 90s
0Puj4YlTm6xNzDDADXHMI9,Sabotage,03r4iKL2g2442PT9n2UKsx,Beastie Boys,6lfjbwFGzQ6aSNP1N3JlT8,178440,1994-05-23,75,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,37i9dQZF1DXaLI8a395lse,Alternative 90s
63OQupATfueTdZMWTxW03A,Karma Police,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,6dVIqQ8qmQ5GBnJ9shOYGE,264066,1997-05-28,76,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,37i9dQZF1DXaLI8a395lse,Alternative 90s
6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,55RhFRyQFihIyGf61MgcfV,258466,1995,76,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,37i9dQZF1DXaLI8a395lse,Alternative 90s
3mwvKOyMmG77zZRunnxp9E,Buddy Holly,3jOstUTkEu2JkjvRdBA5Gu,Weezer,1xpGyKyV26uPstk1Elgp9Q,159226,1994-05-10,75,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,37i9dQZF1DXaLI8a395lse,Alternative 90s
6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,57lcTrUlYgfMIPvBUsVU6h,194853,1994-06-07,75,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,37i9dQZF1DXaLI8a395lse,Alternative 90s
1v2zyAJrChw5JnfafSkwkJ,Shiny Happy People,4KWTAlx2RvbpseOGMEmROg,R.E.M.,6yEuIwTQpciH1qtj7mP5GK,225786,1991-03-12,74,0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,37i9dQZF1DXaLI8a395lse,Alternative 90s
1pKYYY0dkg23sQQXi0Q5zN,Around the World,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,5uRdvUR7xCnHmUW8n64n9y,429533,1997-01-17,74,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,37i9dQZF1DXaLI8a395lse,Alternative 90s
5xC8uOesnn0udeXAYlAnoY,Alright,0sHeX8oQ6o7xic3wMf4NBU,Supergrass,3YfIjaJEWqiSbKPguS9Bxd,180880,1995-05-15,74,0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,37i9dQZF1DXaLI8a395lse,Alternative 90s
1A5V1sxyCLpKJezp75tUXn,Closing Time,1TqQi97nqeiuOJrIFv5Sw0,Semisonic,4JDBx5wQ82jb8PjLYPBP8L,274160,2003-01-01,74,0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,37i9dQZF1DXaLI8a395lse,Alternative 90s
67Hna13dNDkZvBpTXRIaOJ,Teardrop,6FXMGgJwohJLUSr5nVlf9X,Massive Attack,49MNmJhZQewjt06rpwp6QR,330773,1998-01-01,72,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,37i9dQZF1DXaLI8a395lse,Alternative 90s
5PntSbMHC1ud6Vvl8x56qd,Loser,3vbKDsSS70ZX9D2OcvbZmS,Beck,0iIGP4Sxw3KR4OCFv2yvz8,235000,1994-03-01,72,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,37i9dQZF1DXaLI8a395lse,Alternative 90s
1dyTcli07c77mtQK3ahUZR,Just,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,35UJLpClj5EDrhpNIi4DFg,234800,1995-03-13,72,0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,37i9dQZF1DXaLI8a395lse,Alternative 90s
3Ty7OTBNSigGEpeW2PqcsC,Glory Box,6liAMWkVf5LH7YR9yfFy1Y,Portishead,3539EbNgIdEDGBKkUf4wno,308626,1994-01-01,72,0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,37i9dQZF1DXaLI8a395lse,Alternative 90s
3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,3nnQpaTvKb5jCQabZefACI,Jeff Buckley,7yQtjAjhtNi76KRu05XWFS,413826,1994,71,0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,37i9dQZF1DXaLI8a395lse,Alternative 90s
263aNAQCeFSWipk896byo6,Friday I'm in Love,7bu3H8JO7d0UbMoVzbo70s,The Cure,3x1CmNdXWU0DzpTZXFFRZu,214400,1992-04-21,70,0.526,0.762,0,-12.437,0,0.0342,0.000972,0.000116,0.338,0.505,136.203,37i9dQZF1DXaLI8a395lse,Alternative 90s
30HCB1FoE77IfGRyNv4eFq,In Bloom,6olE6TJLqED3rqDCT0FyPh,Nirvana,2guirTSEqLizK7j9i1MTTZ,255080,1991-09-26,70,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,37i9dQZF1DXaLI8a395lse,Alternative 90s
5CeL9C3bsoe4yzYS1Qz8cw,Girls & Boys,7MhMgCo0Bl0Kukl93PZbYS,Blur,1bgkxe4t0HNeLn9rhrx79x,259385,2000-10-23,70,0.693,0.875,7,-8.354,0,0.0315,0.00986,0.0,0.0601,0.899,120.048,37i9dQZF1DXaLI8a395lse,Alternative 90s
2V4Bc2I962j7acQj1N0PiQ,Celebrity Skin,5SHQUMAmEK5KmuSb0aDvsn,Hole,2KE8WCHtD8qnAxXeIzNEId,162666,1998-01-01,70,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,37i9dQZF1DXaLI8a395lse,Alternative 90s
2fXKyAyPrEa24c6PJyqznF,Common People,36E7oYfz3LLRto6l2WmDcD,Pulp,3ly9T2L4pqTZijFgQssd3x,351626,1995-10-30,69,0.314,0.797,0,-9.026,1,0.038,0.0057,5.59e-05,0.0718,0.569,145.393,37i9dQZF1DXaLI8a395lse,Alternative 90s
2CdS3DRqWR5LAhy4hM5X9W,Laid,0qLNsNKm8bQcMoRFkR8Hmh,James,5pALyxshOPc8LLKggzNvQe,156666,1993,69,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,37i9dQZF1DXaLI8a395lse,Alternative 90s
4jLv3tDBu8ww2R07DvL12s,Man On The Moon,4KWTAlx2RvbpseOGMEmROg,R.E.M.,0BiNb8HYR4JvuxUa31Z58Q,314173,1992-10-05,69,0.667,0.699,7,-7.574,1,0.026,0.42,0.000442,0.201,0.655,118.567,37i9dQZF1DXaLI8a395lse,Alternative 90s
02ZdZqhpfrPnxwyakXgxB8,Lump,1lZvg4fNAqHoj6I9N8naBM,The Presidents Of The United States Of America,7qh8188T5LB7bdCBlk6SO1,134200,1995-01-01,69,0.507,0.882,6,-3.917,1,0.0337,0.0053,0.0,0.177,0.907,142.398,37i9dQZF1DXaLI8a395lse,Alternative 90s
4ACxa9buEUnOdYEoPcnMpi,Your Woman,1MPcILKoMCJym9KscdYxuM,White Town,3Xp1KG3G31VGZgV8JpMSX6,259893,1997-02-24,68,0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.642,37i9dQZF1DXaLI8a395lse,Alternative 90s
0MteK167vtyb6hoJNC3Uz3,A Girl Like You,5Qlt3zQ63Z99mNhuun0JAT,Edwyn Collins,4HBLunZ4GQjnraimqR77Ir,236583,2011-10-19,68,0.619,0.781,5,-7.456,0,0.0393,0.0245,0.000293,0.402,0.533,126.266,37i9dQZF1DXaLI8a395lse,Alternative 90s
37pKTyMwalomKCZjxTc2QZ,Cherry-coloured Funk,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,5lEphbceIgaK1XxWeSrC9E,192466,1990,67,0.49,0.652,2,-5.813,1,0.0274,0.00196,6.24e-05,0.0991,0.339,90.085,37i9dQZF1DXaLI8a395lse,Alternative 90s
6TlQ5fbojNRuG0hPQMbxeW,Live Forever - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,3AMHMM2aNG6k3d7ybcQ5bY,276666,1994,67,0.286,0.822,9,-3.366,0,0.0381,2.31e-05,1.31e-05,0.353,0.19,90.96,37i9dQZF1DXaLI8a395lse,Alternative 90s
7xQYVjs4wZNdCwO0EeAWMC,Born Slippy (Nuxx),1PXHzxRDiLnjqNrRn2Xbsa,Underworld,68wdXsJmyuDfbozV2rDjXq,456480,2014-01-01,67,0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042,37i9dQZF1DXaLI8a395lse,Alternative 90s
7kXmJwrZGIhDaLT9sNo3ut,Hey Boy Hey Girl,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,1QJP73UumgERuzp3yJSXw3,290493,1999-01-01,67,0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,37i9dQZF1DXaLI8a395lse,Alternative 90s
0SMkzFGJOBFDI9KfYD55L0,There She Goes,47Z8LEl3LnQkcpva0xSthT,The La's,4tCf15W7qHi3jE0PdljddW,162160,1990,66,0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733,37i9dQZF1DXaLI8a395lse,Alternative 90s
1KdwPeY1WRWQGHCmRJTveb,Cannonball,1xgFexIwrf2QjbU0buCNnp,The Breeders,57F44c0MTziVzHPEuJtH9A,213693,1993-08-30,66,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,37i9dQZF1DXaLI8a395lse,Alternative 90s
