track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4V1SO4C2wG9bTq6Cp7yYyA,Live Without Love,72,190476,"['2TcGJdSOiOvITBzhvfX8XB', '1Cs0zKBU1kc0i8ypK3B9ai']","['Shouse', 'David Guetta']",2,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,75,216873,"['23fqKkggKUBHNkbKtXEls4', '2ZRQcIgzPCVaT9XKhXZIzh', '6ydoSd3N2mwgwBHtF6K7eX']","['Kygo', 'Gryffin', 'Calum Scott']",3,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
2UDycsru4dEa1UFmyIvKYU,Upside Down (feat. Poppy Baskcomb),72,174374,"['0xRXCcSX89eobfrshSVdyu', '4STmXOXUF3UieHU46NWLVt']","['MEDUZA', 'Poppy Baskcomb']",2,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
5Z8Dj3LtbyCMiwE86rhg2f,Marea (we’ve lost dancing),75,285375,"['4oLeXFyACqeem2VImYeBFe', '4TvhRzxIL1le2PWCeUqxQw']","['Fred again..', 'The Blessed Madonna']",2,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
3KDAuFwxWf79cVOJrndpBh,Dreamers,61,170714,"['6lB8vOoI4DRrrVxXwuV19c', '10hGPIDZi33LRaYRIq3Bh4', '3WV4dHxZVMz7HtZN3N36mr']","['Mike Perry', 'Dimitri Vangelis & Wyman', 'Barefoot']",3,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
2N5cFPLy0TIasTWkfT1hri,Chills (LA Hills),76,183652,"['2o5jDhtHVPhrJdv3cEQ99Z', '31W5EY0aAly4Qieq6OFu6I']","['Tiësto', 'A Boogie Wit da Hoodie']",2,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
6vt42KUay3m4wao245vcrO,Somebody,42,157470,6aH5wUamNyPqimXRBt67k1,Hoved,1,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
1gn67lnVnqZ5MrKJFssh0b,Rock This,43,156290,"['7yOWqfe8iP613Ne5SV9XPP', '66DRc0RcwzeQcm1wKdDQ4o']","['Wahlstedt', 'Voltech']",2,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
5eLkFh2TM1ATsGIWGrp7Bd,Who I Was (feat. Ally Ahern),50,169913,"['0yHnhg6YZHrFZ0Dg1LRe7w', '4RSgbf1zgR2X2APEbTqxbM']","['ELYX', 'Ally Ahern']",2,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
5pc9vGH1XfLaA6LBOFWjWS,Kairo,31,201904,0oNBRfSsZBHcgFGcWaVr0R,Södermalm,1,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
2c3KCGq6UojB2c8UAFrRON,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,70,274141,"['3AA28KZvwAUcZuOKwyblJQ', '5INjqkS1o8h1imAzPqGZBb', '205i7E8fNVfojowcQSfK9m', '6GI3CJjT2bOnMfprCpjT1d']","['Gorillaz', 'Tame Impala', 'Dom Dolla', 'Bootie Brown']",4,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
