track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4V1SO4C2wG9bTq6Cp7yYyA,Live Without Love,2TcGJdSOiOvITBzhvfX8XB,Shouse,2Win77LZ47jEOcVu6HcMhX,190476,2023-04-28,72,0.58,0.857,0,-4.503,1,0.0523,0.0186,0.000104,0.0823,0.223,125.978,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,23fqKkggKUBHNkbKtXEls4,Kygo,06q3cqjSYhkePDu6RW6Uoy,216873,2022-09-09,75,0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
2UDycsru4dEa1UFmyIvKYU,Upside Down (feat. Poppy Baskcomb),0xRXCcSX89eobfrshSVdyu,MEDUZA,2FmCevNKGGSYOa9uCuXydm,174374,2023-04-14,72,0.548,0.857,3,-6.83,1,0.0369,0.0187,0.749,0.0731,0.0532,127.967,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
5Z8Dj3LtbyCMiwE86rhg2f,Marea (we’ve lost dancing),4oLeXFyACqeem2VImYeBFe,Fred again..,6o86bV7TAt5x4exc2qLDqC,285375,2021-04-15,75,0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
3KDAuFwxWf79cVOJrndpBh,Dreamers,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1I5VgwayPR20EfIw8Hxemg,170714,2023-04-21,61,0.634,0.736,6,-4.738,1,0.0348,0.135,0.0,0.214,0.335,126.005,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
2N5cFPLy0TIasTWkfT1hri,Chills (LA Hills),2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,1Pl9ZGXwayXPg5qRVpYo74,183652,2023-04-21,76,0.796,0.761,0,-6.299,1,0.0554,0.0213,0.000194,0.124,0.447,115.016,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
6vt42KUay3m4wao245vcrO,Somebody,6aH5wUamNyPqimXRBt67k1,Hoved,1sgVq1yWJ2t6hTjFbuvUWX,157470,2023-04-28,42,0.634,0.877,8,-4.86,1,0.0374,0.00915,0.0861,0.33,0.454,125.027,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
1gn67lnVnqZ5MrKJFssh0b,Rock This,7yOWqfe8iP613Ne5SV9XPP,Wahlstedt,7JNbTJLgYooMUtehLgE1wH,156290,2023-04-21,43,0.776,0.919,8,-5.277,1,0.0411,0.0158,0.578,0.181,0.563,126.018,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
5eLkFh2TM1ATsGIWGrp7Bd,Who I Was (feat. Ally Ahern),0yHnhg6YZHrFZ0Dg1LRe7w,ELYX,3l6q27abkDBjzmbtP7kxB4,169913,2023-04-14,50,0.608,0.818,9,-6.191,0,0.0982,0.0488,3.61e-06,0.0741,0.382,130.046,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
5pc9vGH1XfLaA6LBOFWjWS,Kairo,0oNBRfSsZBHcgFGcWaVr0R,Södermalm,6cPGRvwA1YRKIAglreBcoo,201904,2023-04-28,31,0.792,0.77,5,-10.653,0,0.0545,0.00299,0.144,0.128,0.594,125.997,3Di88mvYplBtkDBIzGLiiM,EDM HITS 2023
