playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,120,spotify,Spotify,1923444
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,75,spotify,Spotify,1181705
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,100,spotify,Spotify,1018689
37i9dQZF1DX30HHrCAl4ZG,Today's Indie Rock,100,spotify,Spotify,844637
7M4pAYnbACdHJ6TgYZSbny,indie rock and alternative music 2023,87,31i2md4tnp7lowsqsqbjxlm56emq,The Skadoosh,84266
4JkaWQpcJ8k8DzVVSi9Usa,Indie Rock,65,31vegzmbef273ynsc6asss4qbjce,Craft Indie,72981
4VLwXrmriLIRY89vHmYNUi,Indie Rock en Español • IndieTIME • Música Indie en Español • Rock Alternativo,96,kmd1nbdh408uz5gd690rkdl4y,IndieTIME,55318
0qYAqOsMGJPntjVEKV5WOF,indie rock,289,nateccc321,nateccc321,45732
3UFTGPzA9kx3DPFkTf5Z4W,alternative/indie rock jams,75,31hdx443wpbgnbrioaetwnyffp3y,Sugarcoat,41936
0GUWwjsiE0b30erIiTvID0,Indie Rock en Español⚡Espacio Alternativo⚡Alternativo en Español 2023⚡Indie en Español Vive Latino,51,onerpm,ONErpm,41141
5Tczk07yeqnPNvXt5RAZDN,Indie Brasil 2023 | Indie Brasileiro | Indie Rock | Indie POP | Indie FOLK,137,12149172389,@vitrolaplay,36697
6ZiBt4CBkFV3INclWxn8Z0,angry girl music of the indie rock persuasion,79,casey1054,Casey Aucoin,31443
20rOCJn3LT8Oc7Beg42LFg,Indie Rock Music 🎸,370,31d7eqzw5zom2eyk33yfth65ayxa,Oceanfy,28611
1pQSn72B64hDQeevFMJ5lw,Indie Rock Hits 🎸,345,31un7ph44msc2dbobbi4frtdyplu,Listly,24986
37i9dQZF1DXb9izPIc0SCS,Indie Rock Hits,100,spotify,Spotify,22922
6zzC8aBbcyX1AtPNJv4ebs,Indie Rock 🤘,98,4q12roz5b89s6idev0bjzksyg,Eternitynetwork,17338
1lQQFqvuZy4Sls1kVaHpVX,Indie Rockin',85,wdj3ur98l24yuj80f5th83v4q,Alpas Records,16289
2zn5Uz49wyfb5RvIPxgify,2000’s Alternative & Indie Rock ,190,syk1v6v29x1oc1do8pmm4xyp0,PK,15516
7dEPjQlm2x73iQAHkR7mAX,Indie Rock Discovery,98,ysavu79aoc02ohhl4fr3rru9b,Felicity Records,13042
2L7y6uvxTq3D3X2yW9y3fw,High energy indie rock ,120,1289117409,Itzel Vite,12064
0VS5xSTGmDkiJPPJtmDpjT,⚡The Indie Rock Bible,154,bm70g3ti8mu3aaafutii4vk2l,Indie Sonico,11742
5eFq9TXWwIbTuHAkl496El,Indie Rock 🎸,95,ruji5tcmmt5vf3kt1fyvgpano,Playlistily,11111
5LgU3DLKdsFaZrbAxvtSR2,Indie Rock Releases,97,31k5xddyfhivo7t5d3qzmc7ylvoq,Timothy Tunes,10850
5zmluPWJZkYjwiYe0LzFYJ,2000s Indie Rock Anthems,50,ore0gasm,Abinav Grover,8736
2ontRK3JngBxTFxpkEjlli,Indie Rock Pops,148,wdj3ur98l24yuj80f5th83v4q,Alpas Records,7745
0SBR0Vn6WxDp3Ymkwz0q1Z,UK Indie Rock 2023,80,klangspot,Klangspot Recordings,6829
2J3YDzTtmZgV5xArdeYmMP,Indie Rock Radar,109,31qqfuxvonbtqkmxtz4o5lod5fja,Capricorn Music,6068
1g8fB4JKbN4ZNPiBfIx3gc,Indie Rock en Español 2023 Éxitos ⚡ Top Alternativo Indie en español Hits 2022 ⚡ Nuevo Rock 2022,64,3odb7ox244ubsfdpniskhs79a,Quaver,4840
2t7rOFRePYBvFDVR53biHW,Indie Rock,119,muciobotelho,As Melhores Playlists,4126
556VmPl7sfDV6GwPTr6N4M,OPM Alternative Indie Rock,17,z9jnead90ofw0ty4iw8111dpr,binibining yena,2463
3dYfSlKkw1Z5kMrtiZwbIU,INDIE ROCK PARTY,354,116868290,EXIL CLUB,1409
54ZIaIt5FvqqTduExTvve3,Happy indie rock🌻,207,kmdqqmf4114fjgkskt3k0yw58,Alejandra Sotelo,1295
0Phy2fRsj8uuiKVOhYxyG0,Indie Rock Indonesia,50,21uz2thuf2c64khcboh7ge32a,K I R,969
