playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,120,spotify,Spotify,1924454
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,75,spotify,Spotify,1702156
37i9dQZF1DWVV27DiNWxkR,Sad Indie,100,spotify,Spotify,1486246
37i9dQZF1DXdbXrPNafg9d,All New Indie,175,spotify,Spotify,1277262
37i9dQZF1DX35DWKgAk2B5,Indie Rock Club,75,spotify,Spotify,1182522
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,100,spotify,Spotify,1019155
37i9dQZF1DX26DKvjp0s9M,Essential Indie,100,spotify,Spotify,855179
37i9dQZF1DX9B1hu73DioC,Indie Chillout,100,spotify,Spotify,772866
37i9dQZF1DX4geSlFB9288,Indie Gaming,100,spotify,Spotify,612957
37i9dQZF1DWSQScAbo5nGF,Indie Roadtrip,100,spotify,Spotify,607737
37i9dQZF1DWWM6GBnxtToT,Feelgood Indie,100,spotify,Spotify,552306
37i9dQZF1DWZIQpJDqCc10,Indie Love Songs,75,spotify,Spotify,541560
37i9dQZF1DX91UQmVbQYyN,EQUAL Indie,100,spotify,Spotify,535788
37i9dQZF1DWU6aakG7fctq,el nuevo indie,100,spotify,Spotify,510441
37i9dQZF1DX9c9fpd0lxJ5,indie feliz,100,spotify,Spotify,451119
37i9dQZF1DXdTb8AG95jne,In The K-Indie,50,spotify,Spotify,435984
37i9dQZF1DX0CIO5EOSHeD,Lo-fi Indie,100,spotify,Spotify,426454
37i9dQZF1DX9LbdoYID5v7,The 2000s Indie Scene,75,spotify,Spotify,413765
37i9dQZF1DX6oLdwrroY56,Pinoy Indie Mix,75,spotify,Spotify,297396
37i9dQZF1DXaaU1AaHpZeu,Novedades Indie,50,spotify,Spotify,293975
37i9dQZF1DWZq91oLsHZvy,Indie x Running,100,spotify,Spotify,270673
37i9dQZF1DX8hY56Fq3fM0,Energy Booster: Indie,100,spotify,Spotify,231197
