track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,86,216320,5INjqkS1o8h1imAzPqGZBb,Tame Impala,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
3NRql0A1Ef4RCvT473iqgD,Hell N Back,84,213573,3K2Srho6NCF3o9MswGR76H,Bakar,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0xkSfBYxRMTLgrinRJlzfz,Next Exit,66,201000,0U7iI0Dk4Ojvi17nZboNO4,Vacations,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,82,218106,1KP6TWI40m7p3QBTU6u2xo,BØRNS,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0KIpuVYhKUUUpjo6H5NvBY,After Midnight (feat. Clairo),70,188000,"['1xU878Z1QtBldR7ru9owdU', '3l0CmX0FuQjFxr8SK7Vqag']","['Phoenix', 'Clairo']",2,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
1gH1h30wkQdd9zhY3j7a8T,THE SHADE,82,181506,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0Mrm083tqUaTGUkiluSORf,Moonshine,60,240000,1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
7mcYosmfRFxXJN3hwwNXnL,Redlight (feat. Teezo Touchdown),0,173720,"['2HkSsS8O2U2gPhnCGVN5vn', '0fGcIStdT1OpFFhOC7Wp36']","['BETWEEN FRIENDS', 'Teezo Touchdown']",2,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
7vAMRzLhIxvRGwmyKm3tlk,Out Of My League,60,181135,4XQI4hyuy5xun1ou3SM8Oe,Aidan Bissett,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0O5q2h0kfQD6PixL7rCHuL,After The Earthquake,60,185276,3kzwYV3OCB010YfXMF0Avt,Alvvays,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
2LaHq6oy3DYrsmreXlmlwx,Dead,47,219984,0mnruuV4CcKu7Ux7kBZ5sa,Quarters of Change,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
21lFRFkdf5sgITNZCDMeDq,Don't Fade Away,61,202621,1bwUhKRmEkOZ1wuTnV9XjC,Beach Fossils,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
19OPH0JC2d7ZCxCK0l1xVE,Strawberry Daydream,0,187228,0I31FkQFn7gxEVAsWGNjvZ,Pacific Avenue,1,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
