track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,5INjqkS1o8h1imAzPqGZBb,Tame Impala,79dL7FLiJFOO0EoehUHQBv,216320,2015-07-17,86,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
3NRql0A1Ef4RCvT473iqgD,Hell N Back,3K2Srho6NCF3o9MswGR76H,Bakar,3aEdbaJGWXbBxn79DgjamF,213573,2019-08-15,84,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0xkSfBYxRMTLgrinRJlzfz,Next Exit,0U7iI0Dk4Ojvi17nZboNO4,Vacations,4UfayZRNyvNRmayWpf2z7H,201000,2023-04-14,66,0.456,0.775,2,-7.125,1,0.037,0.000313,0.823,0.674,0.793,80.026,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,1KP6TWI40m7p3QBTU6u2xo,BØRNS,17l7MIu0Jh0tdgK7or9ovw,218106,2015-10-16,82,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0KIpuVYhKUUUpjo6H5NvBY,After Midnight (feat. Clairo),1xU878Z1QtBldR7ru9owdU,Phoenix,6xsvkBbeMsrk6HPDBsJEwS,188000,2023-03-16,70,0.639,0.82,11,-5.986,1,0.0322,0.0153,0.00405,0.309,0.667,100.013,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
1gH1h30wkQdd9zhY3j7a8T,THE SHADE,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,2yI4m5Yu2tl8v0It5P9WVz,181506,2022-03-11,82,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0Mrm083tqUaTGUkiluSORf,Moonshine,1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus,7dzmDJVRN97PvAHTQZyYBu,240000,2023-04-11,60,0.51,0.934,4,-6.383,1,0.0406,0.218,0.00567,0.0747,0.74,156.861,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
7mcYosmfRFxXJN3hwwNXnL,Redlight (feat. Teezo Touchdown),2HkSsS8O2U2gPhnCGVN5vn,BETWEEN FRIENDS,7u7KN63awFeiDCfk9dq1xm,173720,2023-05-05,0,0.697,0.777,8,-5.914,1,0.117,0.256,0.0,0.202,0.353,136.111,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
7vAMRzLhIxvRGwmyKm3tlk,Out Of My League,4XQI4hyuy5xun1ou3SM8Oe,Aidan Bissett,5FeObPU0SlSJqrFcwjmIP9,181135,2023-04-14,60,0.541,0.744,7,-5.452,1,0.0346,0.0103,0.0,0.284,0.455,129.953,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
0O5q2h0kfQD6PixL7rCHuL,After The Earthquake,3kzwYV3OCB010YfXMF0Avt,Alvvays,1dShPPoxXfzbjFO1jIHJZz,185276,2022-10-07,60,0.321,0.901,4,-4.441,1,0.093,0.00856,8.8e-06,0.59,0.415,165.886,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
2LaHq6oy3DYrsmreXlmlwx,Dead,0mnruuV4CcKu7Ux7kBZ5sa,Quarters of Change,7ulrW1c9ERpGyadIqYwu8Y,219984,2022-07-29,47,0.658,0.791,11,-4.732,0,0.0979,0.00619,0.0,0.384,0.485,123.117,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
