playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,50,spotify,Spotify,2396766
37i9dQZF1DX7Jerj8LqApV,OPM Says Chillax,40,spotify,Spotify,1642070
37i9dQZF1DWXwcRDYKpcpF,OPM Unplugged,50,spotify,Spotify,1177517
37i9dQZF1DWYDQ8wBxd7xt,OPM Rock Hits,40,spotify,Spotify,765002
37i9dQZF1DWT4GbvSrNWS6,OPM: Hits of the '00s,40,spotify,Spotify,355796
37i9dQZF1DX53n2vsU9kOm,OPM: Hits of the '90s,36,spotify,Spotify,235707
1RatVZEeiZzC7P785mVeWS,OPM 2000s(Batang 90s),180,lezliemalagu,Lezlie Joy Macapagal,201099
37i9dQZF1DWZKNkQDWII13,Men of OPM,69,spotify,Spotify,180774
42URGw4uEXPk0IcR8bC6Fi,OPM Chill Songs 2023 ☕,170,jyhra99st5nhex8kfo4um2dh7,buntala,177280
37i9dQZF1DWXjlWxUbm84A,Top OPM Artists of 2018,30,spotify,Spotify,176280
46o3Vj0mHd9N6MAwOgTm03,OPMBands90s-Now,356,12141413785,Jerome Afable,161234
37i9dQZF1DX6i41Du3v1cr,OPM: Hits of the '80s,40,spotify,Spotify,146265
1XZziwW7BJQEBHewndZYx1,Trending OPM Hits 2023,187,jyhra99st5nhex8kfo4um2dh7,buntala,100859
37i9dQZF1DWSVQreDCvFMf,OPM Rising,51,spotify,Spotify,98998
37i9dQZF1DX5k7rLBXjRX0,Top OPM Artists of 2019,30,spotify,Spotify,59669
3mssqdrkVBB3GMLlt2A3HA,Tagalog OPM Songs 2023 ⛺,149,jyhra99st5nhex8kfo4um2dh7,buntala,52729
4eP6aZvScvo1eCtniMuslZ,underrated opm songs that i want to gatekeep forever,63,31p74isdjnfvzyqlnxqht3mvo7ia,margo,51275
2kHr4Fd7UP6iO4qQVsPLdR,OPM Lovesongs 80's-90's,150,darclabayo06,lumbo.klover,37603
14mF3i7gZxCE165ufk0JQf,Broken Hearted OPM Songs 2023 💔,93,jyhra99st5nhex8kfo4um2dh7,buntala,32270
51pNMfyjK9Hso2TMbykyDb,Classic OPM Love Songs,162,12163510916,Giancarlo Fernando,28297
7qdfrnAwLPCp74YlPtXlbT,OPM Road Trip 2023 🚗,102,jyhra99st5nhex8kfo4um2dh7,buntala,27461
5xlnKrv84YiScQblgBn370,Freestyle — OPM Medley and Side A,22,12159923768,Ma Ris,20643
4iMve9EexOaKNXE6D689UZ,OPM Sad Songs 2023 😢,90,jyhra99st5nhex8kfo4um2dh7,buntala,19998
2SHK6wnQVOC2rjDC4vBbOU,90's OPM bands,27,12143376112,Denz Domingo,16459
7aUxW4p4EiNx5wLGZ95BIf,OPM Acoustic Chill Songs 2023 💛,142,jyhra99st5nhex8kfo4um2dh7,buntala,14484
65pSrrws2xzSVMp1evm0cD,Best OPM Hits 2023 - OPM Love Songs Tagalog Playlist,40,redmusiccompany,redmusiccompany,14037
7LheQ5zz9bAGJ2kRbUGojq,"New Filipino Music OPM 2023 (Dilaw, SunKissed Lola, Moira Dela Torre, etc.)",108,12157158793,moody.,13812
19fNGVyGo1AtpJY0w6NMOQ,OPM Pampatulog 2023 🌬,91,jyhra99st5nhex8kfo4um2dh7,buntala,12770
6ogbuVMmLdhiFq7IZTL2TV,OPM Top & Viral Hits 2023 📈,145,jyhra99st5nhex8kfo4um2dh7,buntala,12600
5tIupEvqJAiHwLZcptv0C4,THE OPM BANDS PLAYLIST 🇵🇭,751,31zgivt4fom77yoqk5r2r2t7piyy,RaynseL,11775
