track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0kDeE8TezXDY1QadpjAQQq,Bahala Na,2owtRYReKCG1n2AAS5AcpS,Kenaniah,38K1I3Ij268DtPqJqYcY6U,228688,2022-07-27,76,0.874,0.404,11,-11.168,1,0.0861,0.424,0.000101,0.0959,0.762,122.001,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
08MFgEQeVLF37EyZ7jcwLc,Pano,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,1HJ34zQqSqNvZeO2W6dE01,254400,2021-12-06,80,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
16iRlyUMJVPqz62DlomMre,Ikaw Lang,5GVk1KCKa1tdHRev4bMw7V,NOBITA,1nft8RTZE2QYeDPPNEnCBx,263500,2020-06-12,77,0.513,0.38,11,-11.091,1,0.0336,0.12,0.0,0.0924,0.323,120.952,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
0HAG6nIiEKd75yGpovuSJQ,Isa lang,7uDdl5V5AETSFY7K3muu22,Arthur Nery,09S77IK5S0vxVF0DfwSohF,269256,2021-12-17,75,0.429,0.464,6,-8.445,0,0.0719,0.783,0.0,0.0846,0.375,121.17,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3h8uWt8HNyDNubPSEBgTPG,Yakap,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,0HNCZzy2tqjuLZJuTDGdAW,178947,2022-07-22,74,0.738,0.39,8,-8.437,1,0.0334,0.409,0.0,0.107,0.547,113.979,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
5CUQnKjA6nlteCnxMKsjIu,Tahanan,1DlYnIiliftt6R21Y5NOW2,Adie,77pn87cuqQjBr9mb5H3mPE,293727,2021-12-08,75,0.394,0.366,3,-10.855,1,0.031,0.799,1.05e-06,0.315,0.3,109.862,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
4z7xboLD3PqY9dOUscS2ly,Ikaw Pa Rin,31fsDbpNPKe346urriO4ma,mrld,6yoXzcdZwga0Gqmmqkvz1k,191009,2022-09-02,74,0.412,0.374,4,-11.538,1,0.0307,0.692,7.38e-06,0.168,0.306,108.926,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
6FIEuf1JIzmCtach0gXpeG,Tadhana,3wbCeEPAW6po7J46netxMT,Up Dharma Down,1QpFitywD6FWjFWvTmLOw9,222446,2012-12-07,73,0.685,0.322,6,-13.2,1,0.0369,0.162,0.0299,0.0809,0.508,155.977,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4nQxblVnnFPehg9ujzdJ8L,318814,2017-06-23,73,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
4u8RkgV6P4TLi89SmlUtv8,Mundo,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2p6QlBCrnKwUFC0wPN1kfV,349713,2018-02-14,72,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
08hFNg8Oz3lvaAms7qrIif,The Day You Said Goodnight,6Ww3OMFzCaO33ulKh1LBFN,Hale,3rYydzqOp83YUYh4EXjrbk,291320,2005,71,0.556,0.563,4,-6.591,1,0.032,0.511,0.0,0.119,0.238,134.259,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
0bhzB5PBUVqZSux5Y7t5ED,Ikaw Lamang,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,6MC4GloSqK2sSTLeYImDV3,306466,2007-01-01,70,0.396,0.631,9,-5.039,1,0.0384,0.6,0.0,0.0947,0.282,114.965,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,244800,2021-10-15,76,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
7gfrASeOt73YWvpIv1fU8E,Higa,7uDdl5V5AETSFY7K3muu22,Arthur Nery,6oZQZu4rTUF0A8PtpZeLFF,245760,2019-10-25,73,0.656,0.336,9,-10.538,1,0.0434,0.453,0.0,0.106,0.182,125.058,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3PgjBOoA5OytNGkglObpOd,Sa Susunod na Habang Buhay,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,0U3q2NgWn97Fsns6dg7CzD,288189,2020-02-28,72,0.311,0.342,2,-8.889,1,0.032,0.432,1.93e-06,0.114,0.274,177.158,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
4iRRAvxPPWXQp3mV1rAbPF,Unang Sayaw,5GVk1KCKa1tdHRev4bMw7V,NOBITA,05VgPoz2XrqlgnnOYBaPsk,278008,2021-08-18,70,0.5,0.397,9,-11.653,1,0.0557,0.412,0.0,0.126,0.375,180.045,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3U8MbjNAP56IrzpbEFn1qN,Pa-umaga,2G7VQ1kVhVfNagytlousgm,Al James,6d3mjDBVhzN8ianGFJsKKE,189019,2018-10-22,70,0.911,0.299,0,-17.179,1,0.0752,0.17,0.00201,0.0952,0.565,130.038,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
0D1ecMMsSIpJbjPoJMHGkV,Your Song,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,6iUGtPyYDUQn9faXr81A3f,168493,2003-01-01,70,0.657,0.153,11,-13.087,1,0.0516,0.898,0.0,0.107,0.654,119.657,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,0iqkVK6sTXi7DZWWOeKy8Q,PDL,79UXZq6nXVVBpZgWWxb9Gq,214606,2018-09-26,70,0.595,0.57,5,-6.232,0,0.12,0.104,0.0,0.0899,0.721,84.929,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
69u8qQcaA3o0A7Ko87juqp,Hanggang Kailan - Umuwi Ka Na Baby,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,1Pjond44g3GY0emy3LfcCl,261866,2005-03-24,69,0.555,0.674,0,-5.523,1,0.0314,0.116,1.54e-06,0.256,0.395,146.381,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
65sEZZaxTjLMD8vNgPoMz5,Imahe,28B54RKpJrEmDoGSTjsfY6,Magnus Haven,04KG42EaTfjaPbYHQ6wI3h,321817,2018-11-30,68,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
