playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics,80,spotify,Spotify,1513152
37i9dQZF1DWULEW2RfoSCi,70s Soul Classics,94,spotify,Spotify,1410597
37i9dQZF1DXbcgQ8d7s0A0,Sweet Soul Chillout,65,spotify,Spotify,1202842
37i9dQZF1DWTx0xog3gN3q,Uplifting Soul Classics,50,spotify,Spotify,1177894
37i9dQZF1DX62Nfha2yFhL,Soul Lounge,89,spotify,Spotify,877996
37i9dQZF1DXaXDsfv6nvZ5,Soul Coffee,100,spotify,Spotify,747471
37i9dQZF1DX5lDysu4GbKR,Acoustic Soul,100,spotify,Spotify,582803
37i9dQZF1DXcAiMO5AYxE8,Soulful Disco,62,spotify,Spotify,476419
37i9dQZF1DX44dZ4p5QLf4,Next Wave Soul,100,spotify,Spotify,468225
37i9dQZF1DX8MbMfAHb8U0,I Love My Neo-Soul,99,spotify,Spotify,390428
37i9dQZF1DWY12BqhkMFW2,Soul Revived,35,spotify,Spotify,336182
37i9dQZF1DWXUtxBFupUW9,Body & Soul,50,spotify,Spotify,287956
37i9dQZF1DX8Md3JnnrexB,Soulful Blend,100,spotify,Spotify,194541
37i9dQZF1DWT7oUl2XAhgF,Retro Soul,100,spotify,Spotify,187504
37i9dQZF1DWVJE8hP95f7v,Soul Brasil,75,spotify,Spotify,151182
37i9dQZF1DXchlyaSeZp0q,Sad Soul,40,spotify,Spotify,127109
37i9dQZF1DX673Mh4M9yQJ,Black Britain: Soul Sisters,50,spotify,Spotify,114341
37i9dQZF1DXb5Hc9BmAT8t,Soulful Sid Sriram,77,spotify,Spotify,77406
37i9dQZF1DWYmZJhCzQOPD,Philly Soul,51,spotify,Spotify,75727
6bJqBjXDDXJnOp2qhsn7Zg,SOUL R&B,167,cristiandavid012,Chris Dracox,57898
5uBRWDOfL0Q0eyJ4IxdpxW,"SOFT SOUL, BLUES & JAZZ",126,q64xm9wcophofu2yt8armms73,laisinha,52990
3JEVox3cuxwfMV1XtqT26R,Mood : Soul,74,dl5yabk2pmu9kc9vvoji5bkkg,Tobias Ahlers,49861
55pJbZGxlwWYdnVgGOtgdF,Alchemy of Souls OST,71,giwta.vasileiou,Penny 🌻,38016
37i9dQZF1DZ06evO2te9n2,This Is Collective Soul,50,spotify,Spotify,32755
3vQ7pF14wH2JTmlvGD4IUv,Korean R&B / Soul / Chill,315,1113244813,Dorica Santos,32319
3X32C68OHZ5BbC54w6xokh,R&B x SOUL FLOWER,36,31cfcnipd62rfsuym4sxf5pdlrhu,KETCHUP New MAYONAISE,27486
0r5ojPhjqGVq21oQR13UJy,NEO SOUL GUITAR,103,simongonewild,Simon Näckborn Landqvist,26653
4j10BlTT4NTVNo7xa2OP0X,Soul Candi Classics,131,soulcandi,Soul Candi,21915
3uJMbKwIJBIS6WzqAzD3qu,r&b/soul 🌆🪴,206,s9wp02ffjuq9lkoo7cdlkdb2l,Brandy Hudgins,21651
4MhUFd8NX3mOq0oKvHRn1w,Soul Music Hits 80s 90s | Best R&B Funk Soul Songs of the 80's & 90's,50,listanauta,Listanauta,19210
0ehBwHFGlWlBCxuFVSy0Dt,90s RnB and Soul,216,79679608flncvsrjhntd0wpvv,Siline (Si-leen-eh),18742
7Gw1Cnqll2rS761ZLKfaQ3,Soul Music - 60s & 70s,86,calvinwong1966,calvinwong1966,18646
6RZCFELRNOFhrIZ1JseVKY,Soul Eater | openings & endings,11,fz230568w0ccmom2dg3zvxq1h,AniPlaylist,17055
6qSfxb9ebq6GDC8SrUy3w7,Souls'package,441,svg7wxljd9gibz1vuyxaszcmf,Leon^,15893
1JWqAOzP1dc3t1ZbpMwuoj,Sunday Soul Sessions - Eddie Zondi ,28,edward.mukwaya,edward.mukwaya,15691
2m8WcLbth0lOQ2hxBs8ySu,Alchemy of Souls OST (2022),23,jetxxjuveeen,jovn,15301
0AD5Ex7GTcgijIqDeLTf0Q,"Soul Tapes 1, 2, 3",38,12135579999,Derrick Nguyen,14914
1UPIIAEVeD7f6mTffaf1Ck,Alchemy of Souls S1 & S2,10,215n5rl4kczft7ps74qr77mpa,Eirin R-ven,14904
1IJizpx2pKJROAbU4Mqgfn,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop ,318,o16a7ny37b9026pxfoqc4rhe1,Retro Tones,13528
37i9dQZF1DXd9dy0tcoQft,Soul Food,70,spotify,Spotify,12265
37i9dQZF1DX2CXe9Z4UDn7,Fresh Soulful House,63,spotify,Spotify,11885
37i9dQZF1DZ06evO1ppL2j,This Is Soul II Soul,47,spotify,Spotify,10807
3ou2g7qd8REbGsCl0aRfR5,ichiko aoba + lamp for the soul,38,sophia.platt,soph*:･ﾟ✧*:･ﾟ✧,10489
5ZgdJIMUH7KegnB09qPSLb,"Hey, Soul Sister ",28,316qliht2gjrmpwqgvtq6b3j535e,Joshua Davidson,9984
5edbQ2ZBkiH6QzCdYPCgT9,Soul & Jazz Lijst | NPO Radio 2,386,radio2nl,NPO Radio 2,9949
37i9dQZF1DXaYkQ0K2mhgZ,Soul Dance Party,62,spotify,Spotify,9910
3dg4AH2O3CeA7ibVPLeP8V,if soulmates were songs,82,georgiataylorspotify,georgia taylor,9744
37i9dQZF1DWTvmylPES3my,This Is Soul Brothers,68,spotify,Spotify,8869
37i9dQZF1DZ06evO0PC2DS,This Is SOUL'd OUT,50,spotify,Spotify,8810
1FXH1c4283n0PGDhcoZvPr,Soulful Bollywood,238,31wd7qnkdorwlrzvxbfogr6q3tau,Vidhi,8030
2i7iEp0jQwejFZVJOSL4aH,Soul on the Dancefloor,85,mike.vd.zanden,Moodssupply,6331
4dArr4W10DEGdUb1ddOViq,Collective Soul Greatest Hits ,16,leabrown66,leabrown66,6032
4LaxDv3HTdDPRm7ILruNvu,Metro FM - Sunday Soul Therapy,918,gkm12ygene0e2n8wkk61asw23,Kwazi Ngubane,5615
344VVubFeKswJIDELA9WMt,krnb/khh/soul,171,trishxloyola,psychopatrish,5082
