track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5LqviduT0g0J0ypFrFSwCE,151666,1967-08-29,84,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,6N8uPmDqbgXD3ztkCCfxoo,125093,1971-05-01,82,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,60df5JBRRPcnSpsIMxxwQm,Otis Redding,03HMOcANauhLD0WNrMkmLU,163755,1968,79,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
3kXoKlD84c6OmIcOLfrfEs,September,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",3p90GIjEg4gXpnLmwGGvzI,216022,1978-11-18,78,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)",7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,54ootLtDyMZFr9obtWQvvO,161160,1970-08-07,78,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
4Hhv2vrOTy89HFRcjU3QOx,At Last,0iOVhN3tnSvgDbcg25JoJb,Etta James,7rd4PorIOPjPTy7qdUeeCt,179693,1960,77,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
1OppEieGNdItZbE14gLBEv,You Can't Hurry Love,57bUPid8xztkieZfS7OlEV,The Supremes,5fpOmAuZaVyEXPlQ4oOqJ6,167933,1966-08-25,76,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",7fIvjotigTGWqjIz6EP1i4,Four Tops,2jvkMPydCpLWwRothqJU1O,160280,1965,75,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
0bRXwKfigvpKZUurwqAlEh,Lovely Day,1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,3QjPTUI6UcPr5m9RujkO3c,254560,1977-10-29,79,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
0PDCewmZCp0P5s00bptcdd,This Will Be (An Everlasting Love),5tTsrGPwQRWUsHR2Xf7Ke9,Natalie Cole,1eTNYVS06XwHjwMssf6Fsx,171960,1975-01-01,74,0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",4RLVTxnuVN5ZWZqBFnaaQt,288293,1979-06,77,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
1h2xVEoJORqrg71HocgqXd,Superstition - Single Version,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,4E1itnJOhTMRSATNaxh0Sq,245493,2002-10-29,76,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
